fips,name,trump_pct,medicaid_pct
5067,Jackson,63.36307214895268,30.09450472523626
5069,Jefferson,35.722561211091374,28.868673741968088
5071,Johnson,66.8459174714662,23.75233208955224
5073,Lafayette,61.468531468531474,27.486690949845894
5075,Lawrence,71.48636763412489,27.197128327849235
5077,Lee,40.614672835426305,38.67801820976705
5079,Lincoln,64.1662310507057,28.93664697494398
5081,Little River,68.96881576430076,21.848873317939326
5083,Logan,72.54134578967302,26.38716498873719
5085,Lonoke,73.64575645756457,18.468996454670428
5087,Madison,72.03625200994007,21.380589853496257
5089,Marion,75.08090614886731,23.761040235525023
5091,Miller,70.18830402088125,24.26512153759186
5093,Mississippi,53.47621932747653,32.11673858732682
5095,Monroe,51.62968099861304,36.36720796228392
5097,Montgomery,74.26243326777184,23.343639575971732
5099,Nevada,61.61429451632778,29.46241563881778
